CustomerID,Age,Annual_Income_kUSD,Spending_Score,Total_Transactions,Avg_Order_Value,Web_Engagement_Score
CUST-001,19,15,39,12,25.5,4.2
CUST-002,21,15,81,38,18.2,8.9
CUST-003,20,16,6,4,12.0,1.5
CUST-004,61,44,41,21,48.12,5.6
CUST-005,52,43,52,16,41.54,5.5
CUST-006,52,57,38,16,44.25,4.4
CUST-007,61,61,48,20,46.73,4.6
CUST-008,57,51,56,18,48.17,5.6
CUST-009,51,58,40,21,39.91,5.5
CUST-010,56,54,42,20,43.37,5.0
CUST-011,51,47,46,19,42.81,5.1
CUST-012,51,54,43,16,42.1,5.9
CUST-013,54,62,38,14,51.77,4.6
CUST-014,44,51,46,18,46.33,5.4
CUST-015,45,62,40,22,39.67,4.9
CUST-016,50,35,48,20,48.38,4.9
CUST-017,48,57,41,15,53.2,5.8
CUST-018,55,52,53,19,48.84,5.6
CUST-019,49,49,41,20,38.63,5.6
CUST-020,46,52,44,16,42.77,5.9
CUST-021,61,37,49,19,49.78,5.0
CUST-022,52,50,39,19,41.88,5.5
CUST-023,54,54,46,16,46.49,4.8
CUST-024,46,62,52,20,47.81,5.3
CUST-025,50,48,37,21,41.0,4.9
CUST-026,54,46,46,22,44.47,5.1
CUST-027,47,48,47,22,31.74,5.4
CUST-028,55,58,49,15,40.61,4.5
CUST-029,50,54,39,16,43.7,6.5
CUST-030,52,48,39,20,39.72,4.3
CUST-031,50,55,48,20,51.24,4.2
CUST-032,62,52,47,20,38.99,5.8
CUST-033,53,58,47,28,42.95,5.6
CUST-034,48,46,47,21,45.23,5.5
CUST-035,57,49,42,22,50.48,5.5
CUST-036,47,49,46,22,38.97,5.0
CUST-037,54,41,47,21,49.36,4.4
CUST-038,43,53,42,18,44.75,5.1
CUST-039,47,53,55,21,40.78,4.6
CUST-040,54,51,48,17,46.56,5.7
CUST-041,57,50,39,18,45.51,4.9
CUST-042,54,41,49,17,42.31,4.5
CUST-043,53,48,40,19,44.99,4.8
CUST-044,52,49,49,26,43.17,5.3
CUST-045,46,46,51,13,45.16,4.6
CUST-046,50,50,41,21,47.36,4.5
CUST-047,51,54,50,14,51.05,5.2
CUST-048,58,65,47,18,39.76,5.2
CUST-049,55,53,49,22,53.24,4.7
CUST-050,44,53,55,19,36.9,4.7
CUST-051,55,51,44,16,44.1,5.2
CUST-052,51,38,42,17,47.06,4.0
CUST-053,50,51,41,21,45.83,4.0
CUST-054,56,52,41,17,42.22,4.5
CUST-055,58,68,45,20,43.88,4.9
CUST-056,58,50,47,19,42.74,5.2
CUST-057,49,53,47,17,42.35,6.1
CUST-058,52,51,49,25,48.11,5.6
CUST-059,55,43,45,21,46.14,4.9
CUST-060,32,99,82,37,178.06,8.7
CUST-061,28,95,86,39,174.21,9.0
CUST-062,32,83,89,50,171.94,8.9
CUST-063,31,75,83,50,163.92,9.4
CUST-064,34,96,89,44,167.89,9.0
CUST-065,29,86,77,47,183.87,9.1
CUST-066,35,95,76,46,180.82,8.8
CUST-067,39,75,82,55,163.08,8.7
CUST-068,32,82,84,49,176.0,8.7
CUST-069,34,87,83,44,183.83,9.1
CUST-070,35,87,74,41,154.78,8.8
CUST-071,31,83,82,39,181.33,9.0
CUST-072,33,91,77,45,166.86,9.8
CUST-073,33,79,85,42,181.66,9.3
CUST-074,33,86,84,40,165.65,8.8
CUST-075,29,87,79,42,153.15,9.4
CUST-076,33,90,81,41,155.28,8.8
CUST-077,34,92,78,51,175.39,8.1
CUST-078,38,79,82,48,177.93,8.5
CUST-079,36,76,87,45,163.96,8.2
CUST-080,41,95,79,50,182.47,8.8
CUST-081,29,89,85,45,154.87,8.9
CUST-082,36,81,81,42,174.02,9.6
CUST-083,33,97,80,50,160.28,9.1
CUST-084,41,87,82,47,166.99,8.8
CUST-085,29,95,79,41,175.38,9.3
CUST-086,29,87,80,44,164.49,8.0
CUST-087,30,101,78,42,170.2,9.0
CUST-088,24,99,91,40,186.89,9.2
CUST-089,30,85,83,48,167.89,8.3
CUST-090,29,93,80,51,184.84,9.4
CUST-091,33,91,84,40,161.25,9.1
CUST-092,34,96,82,47,181.17,8.8
CUST-093,40,80,82,42,192.11,9.2
CUST-094,36,91,85,43,145.15,9.8
CUST-095,30,94,86,43,165.25,9.0
CUST-096,29,74,81,42,181.73,9.0
CUST-097,34,78,80,45,172.37,8.7
CUST-098,27,72,82,42,179.26,8.6
CUST-099,45,63,14,5,42.78,2.1
CUST-100,37,78,18,7,44.7,2.1
CUST-101,41,74,12,5,45.39,2.8
CUST-102,39,66,18,7,48.17,2.9
CUST-103,43,65,15,4,46.4,2.0
CUST-104,43,71,15,8,40.35,2.1
CUST-105,46,83,18,7,47.21,2.1
CUST-106,39,72,17,7,48.13,1.7
CUST-107,40,64,15,8,47.93,1.9
CUST-108,37,72,20,9,50.01,1.8
CUST-109,39,72,12,8,49.03,1.9
CUST-110,43,60,18,4,47.53,2.2
CUST-111,44,73,18,5,45.41,2.3
CUST-112,37,72,15,5,39.05,2.9
CUST-113,45,77,17,6,47.41,1.8
CUST-114,47,84,12,7,46.52,2.6
CUST-115,43,80,19,5,46.78,2.1
CUST-116,49,72,15,7,40.58,2.2
CUST-117,38,67,14,5,41.37,2.5
CUST-118,35,89,20,6,49.9,1.8
CUST-119,33,74,13,4,45.53,2.4
CUST-120,48,73,11,5,48.42,2.3
CUST-121,44,73,10,4,45.8,2.4
CUST-122,41,74,18,5,45.81,2.3
CUST-123,42,72,11,8,49.44,3.2
CUST-124,36,70,22,5,43.63,2.0
CUST-125,52,70,9,10,46.07,2.0
CUST-126,42,73,22,7,43.84,2.0
CUST-127,41,70,17,7,43.95,2.0
CUST-128,44,69,16,5,44.45,2.0
CUST-129,43,74,14,7,46.58,2.7
CUST-130,42,72,17,6,43.78,2.8
CUST-131,37,82,16,7,50.71,2.0
CUST-132,43,60,20,10,42.11,1.9
CUST-133,49,80,16,6,44.94,2.4
CUST-134,47,81,16,8,43.93,2.0
CUST-135,48,61,15,5,51.48,2.5
CUST-136,39,71,16,6,46.48,2.3
CUST-137,37,71,17,9,49.82,1.6
CUST-138,40,65,10,5,39.75,2.8
CUST-139,41,69,11,9,46.76,2.9
CUST-140,46,67,19,7,49.25,2.0
CUST-141,33,84,17,6,46.02,2.1
CUST-142,48,79,15,7,49.95,2.3
CUST-143,40,81,16,8,43.62,2.4
CUST-144,39,78,17,7,51.33,2.5
CUST-145,36,66,14,4,54.89,3.0
CUST-146,25,34,66,32,36.69,6.6
CUST-147,23,38,64,23,36.81,6.0
CUST-148,21,43,58,22,39.49,5.8
CUST-149,23,49,62,28,37.12,7.6
CUST-150,25,41,62,30,39.5,6.1
CUST-151,31,38,57,32,36.66,6.0
CUST-152,24,51,69,26,37.22,5.3
CUST-153,26,34,66,30,29.95,6.2
CUST-154,25,30,61,27,40.15,5.8
CUST-155,29,43,62,26,38.15,7.6
CUST-156,32,39,63,30,40.43,7.2
CUST-157,24,36,53,29,26.8,6.2
CUST-158,24,45,61,22,44.25,8.0
CUST-159,29,42,59,31,36.45,7.2
CUST-160,27,38,58,31,40.82,6.4
CUST-161,31,35,61,25,33.3,5.1
CUST-162,27,46,70,28,39.08,8.0
CUST-163,24,44,65,28,33.25,5.8
CUST-164,27,41,60,28,34.76,5.6
CUST-165,29,50,65,25,43.64,7.2
