Industry,Contract_Plan,Billing_Cycle,Onboarding_Tier,Monthly_Contract_Value,Tenure_Months,Licensed_Seats,Active_Seats,Support_Tickets,Unresolved_Bugs,API_Calls_Monthly,Churn
HealthTech,Startup,Monthly,Self-Serve,1143.0,53,25,16,5,3,34529.0,0
Media,Enterprise,Monthly,Self-Serve,8480.41,72,23,19,2,1,48885.0,0
EdTech,Custom,Annual,Assisted,4571.94,36,23,10,3,1,28619.0,0
E-Commerce,Startup,Annual,Self-Serve,323.26,43,15,3,4,2,37854.0,0
FinTech,Enterprise,Monthly,Assisted,1861.38,4,19,11,3,0,222821.0,0
FinTech,Growth,Monthly,Assisted,1340.07,32,23,21,2,0,19973.0,0
FinTech,Custom,Quarterly,Assisted,2703.99,22,20,16,3,1,12196.0,0
Logistics,Growth,Monthly,Assisted,711.07,59,24,11,2,0,29755.0,0
E-Commerce,Enterprise,Monthly,Assisted,656.11,15,20,5,2,1,37151.0,0
EdTech,Startup,Monthly,Self-Serve,753.96,1,23,16,1,0,4476.0,0
FinTech,Startup,Monthly,Self-Serve,823.74,16,24,20,3,2,81988.0,0
Media,Startup,Annual,Assisted,2678.54,20,23,16,1,1,27414.0,0
Logistics,Custom,Monthly,Self-Serve,490.77,4,28,15,1,1,26652.0,0
FinTech,Enterprise,Monthly,Assisted,789.01,9,22,6,1,1,53770.0,0
FinTech,Enterprise,Quarterly,Assisted,292.76,16,21,19,2,2,74194.0,0
FinTech,Custom,Annual,Assisted,3152.81,8,21,8,5,2,213222.0,0
HealthTech,Startup,Monthly,Assisted,3945.68,8,21,7,2,2,9529.0,1
E-Commerce,Growth,Monthly,Assisted,1014.33,2,27,23,3,1,21198.0,0
HealthTech,Startup,Monthly,,1039.76,50,12,11,5,3,9212.0,0
HealthTech,Startup,Annual,,1968.92,24,16,11,1,0,106371.0,0
E-Commerce,Startup,Quarterly,Assisted,4690.57,1,19,13,3,1,39758.0,1
FinTech,Growth,Annual,Assisted,1895.65,26,28,12,1,1,95676.0,0
HealthTech,Startup,Multi-Year,Dedicated-CSM,740.33,24,16,3,2,1,210742.0,0
HealthTech,Startup,Annual,Assisted,338.32,1,16,5,2,0,39948.0,0
E-Commerce,Startup,Annual,Assisted,519.12,8,30,20,1,0,6287.0,0
EdTech,Startup,Quarterly,Assisted,1425.44,16,15,4,3,1,22413.0,0
FinTech,Custom,Monthly,Assisted,767.37,10,21,19,3,2,1843.0,0
E-Commerce,Enterprise,Multi-Year,Self-Serve,1580.86,27,27,9,3,1,94624.0,0
E-Commerce,Custom,Monthly,Dedicated-CSM,837.16,9,19,11,1,0,902.0,0
FinTech,Growth,Monthly,Self-Serve,544.89,3,22,13,3,2,44847.0,0
E-Commerce,Startup,Annual,Assisted,492.51,67,19,12,1,1,5610.0,0
FinTech,Enterprise,Monthly,Assisted,5054.33,4,16,7,4,1,379.0,1
FinTech,Startup,Quarterly,Dedicated-CSM,2851.61,22,23,20,3,2,14796.0,0
Media,Startup,Quarterly,Self-Serve,5830.98,2,24,13,1,0,40132.0,0
Media,Startup,Monthly,Assisted,2119.55,7,24,18,4,1,3903.0,1
Logistics,Startup,Annual,Assisted,929.37,10,20,14,0,0,47711.0,0
HealthTech,Startup,Monthly,Self-Serve,4125.08,3,22,6,4,2,55736.0,1
FinTech,Growth,Monthly,Self-Serve,1302.31,10,21,14,2,0,174827.0,0
EdTech,Growth,Quarterly,Assisted,1616.01,3,21,13,2,0,114898.0,0
HealthTech,Startup,Annual,Assisted,1291.55,14,18,16,2,0,41827.0,0
FinTech,Startup,Annual,Self-Serve,150.0,19,24,21,2,2,78840.0,0
E-Commerce,Enterprise,Monthly,Assisted,5239.73,1,31,9,1,1,22600.0,1
FinTech,Startup,Annual,Assisted,2033.17,36,23,6,2,1,44060.0,0
Media,Startup,Monthly,Assisted,1772.86,3,20,8,1,0,25822.0,0
HealthTech,Enterprise,Multi-Year,Dedicated-CSM,1270.91,4,17,16,1,0,20552.0,0
EdTech,Startup,Monthly,Assisted,1539.04,19,20,4,1,1,65031.0,1
HealthTech,Startup,Annual,Dedicated-CSM,806.18,11,11,8,2,0,17596.0,0
E-Commerce,Growth,Monthly,Dedicated-CSM,2262.2,12,29,19,3,1,23946.0,0
E-Commerce,Startup,Monthly,Self-Serve,440.97,2,20,14,1,1,22878.0,0
FinTech,Growth,Quarterly,Self-Serve,1568.94,29,18,6,2,0,102166.0,0
Media,Enterprise,Annual,Assisted,2158.86,17,23,8,2,0,9341.0,0
EdTech,Startup,Quarterly,Assisted,1131.31,2,23,12,0,0,24021.0,0
